identifier,best_affinity_kcal_mol,runtime_seconds
CNP0343364.1,-5.738,72.6
CNP0343698.2,-6.21,15.1
CNP0344047.0,-5.578,18.3
CNP0344800.1,-6.88,156.0
CNP0344851.0,-4.453,5.9
CNP0345146.0,-6.924,17.9
CNP0345195.0,-4.64,7.1
CNP0345660.0,-7.724,22.3
CNP0345757.0,-8.131,119.4
CNP0346284.1,-6.681,69.1
CNP0346286.0,-5.645,18.9
CNP0346415.1,-6.741,34.5
CNP0346821.1,-6.332,50.8
CNP0347140.1,-6.75,15.1
CNP0347939.1,-6.117,28.7
CNP0349253.0,-6.448,43.8
CNP0349528.1,-6.335,69.3
CNP0349605.0,-4.755,7.0
CNP0350179.0,-4.285,116.0
CNP0351754.1,-4.592,11.1
CNP0352521.1,-6.431,15.3
CNP0354096.0,-4.345,4.5
CNP0354631.2,-7.042,168.1
CNP0354668.1,-7.278,290.9
CNP0355614.1,-4.741,17.6
CNP0356328.1,-4.441,41.7
CNP0356385.1,-6.722,114.5
CNP0357356.1,-7.52,85.7
CNP0357483.0,-5.056,8.2
CNP0357867.1,-5.191,108.8
CNP0360209.0,-7.171,92.3
CNP0361423.4,-5.644,20.3
CNP0361831.0,-7.136,108.8
CNP0361945.4,-7.157,104.1
CNP0362387.1,-5.113,27.7
CNP0362727.1,-4.711,14.9
CNP0363284.1,-6.981,50.0
CNP0365946.4,-5.501,25.2
CNP0366480.1,-6.856,17.0
CNP0368255.0,-4.362,6.2
CNP0368674.1,-4.664,8.2
CNP0368768.1,-7.599,21.4
CNP0369981.1,-6.351,243.0
CNP0370701.2,-6.098,22.5
CNP0373030.1,-6.599,18.0
CNP0373990.2,-5.147,20.9
CNP0374284.1,-7.595,30.3
CNP0376192.1,-5.427,47.2
CNP0378121.1,-7.235,16.5
CNP0378324.1,-5.832,10.2
CNP0379619.2,-4.718,102.4
CNP0381361.0,-5.721,10.3
CNP0382681.1,-4.697,8.8
CNP0383594.1,-6.326,212.7
CNP0383885.0,-7.25,26.4
CNP0386303.1,-5.932,33.7
CNP0386414.0,-4.209,4.0
CNP0386869.0,-4.941,18.5
CNP0387584.1,-6.979,33.2
CNP0389085.1,-5.144,20.8
CNP0389872.0,-4.554,5.6
CNP0389920.1,-6.353,59.7
CNP0392583.1,-5.989,17.3
CNP0395465.0,-5.829,33.9
CNP0397182.1,-5.488,10.3
CNP0398728.1,-6.205,51.1
CNP0401624.1,-7.618,27.6
CNP0403214.0,-5.157,20.4
CNP0404493.2,-7.79,62.1
CNP0406014.0,-6.358,8.3
CNP0406191.0,-6.398,15.6
CNP0406293.1,-3.924,6.9
CNP0411181.1,-5.008,9.5
CNP0412296.0,-7.533,64.1
CNP0412799.1,-6.835,13.5
CNP0414061.1,-5.551,20.2
CNP0416314.1,-6.647,195.7
CNP0417205.1,-6.524,28.4
CNP0417750.0,-6.373,25.6
CNP0418506.0,-6.186,12.6
CNP0421383.2,-5.491,12.8
CNP0423677.1,-6.978,92.8
CNP0423831.1,-7.536,112.1
CNP0425271.1,-6.857,102.2
CNP0425672.1,-5.462,11.7
CNP0426943.1,-7.887,22.4
CNP0427275.1,-6.776,42.4
CNP0428306.0,-5.475,7.6
CNP0428515.1,-5.731,146.8
CNP0428586.1,-7.827,18.7
CNP0428769.1,-6.139,28.0
CNP0428794.1,-5.373,14.1
CNP0428852.0,-6.481,12.7
CNP0429432.1,-6.166,30.6
CNP0430222.1,-6.498,48.7
CNP0430255.1,-7.195,65.0
CNP0430959.1,-6.917,91.1
CNP0430980.0,-6.808,108.3
CNP0431627.1,-5.188,223.9
CNP0432088.2,-5.415,33.0
CNP0433126.1,-6.35,223.9
CNP0434138.1,-6.354,165.3
CNP0434251.1,-6.569,25.8
CNP0435015.0,-5.779,18.5
CNP0436699.1,-4.726,9.6
CNP0437535.0,-7.365,51.6
CNP0437887.0,-7.581,27.9
CNP0439494.1,-6.636,95.4
CNP0440027.1,-6.031,58.5
CNP0440578.1,-6.599,50.9
CNP0441979.0,-4.769,5.8
CNP0442068.0,-6.099,35.2
CNP0443182.1,-6.207,116.4
CNP0443307.0,-4.999,30.2
CNP0443556.1,-5.597,25.4
CNP0444001.0,-6.092,13.1
CNP0444707.0,-6.12,15.2
CNP0445140.1,-5.367,229.2
CNP0445227.0,-6.11,17.9
CNP0446937.0,-4.472,7.0
CNP0450582.1,-4.971,32.4
CNP0450591.0,-6.882,21.9
CNP0451571.0,-4.513,46.8
CNP0452034.0,-4.405,13.8
CNP0452806.3,-5.047,22.4
CNP0453177.1,-8.082,31.4
CNP0453909.1,-5.593,29.2
CNP0455382.1,-7.668,90.0
CNP0455920.1,-6.396,42.4
CNP0458406.0,-4.618,6.7
CNP0460949.2,-7.13,148.4
CNP0460991.0,-3.41,38.9
CNP0461222.2,-6.303,22.9
CNP0461802.2,-6.905,62.4
CNP0461824.1,-6.616,39.6
CNP0461847.0,-4.312,105.0
CNP0463007.2,-5.938,41.7
CNP0463080.2,-6.073,24.7
CNP0464450.1,-5.708,40.1
CNP0465194.0,-5.444,16.0
CNP0466069.1,-5.016,63.4
CNP0467281.2,-7.318,16.9
CNP0468987.1,-6.628,33.1
CNP0469506.1,-4.722,8.6
