identifier,canonical_smiles,molecular_weight,alogp,topological_polar_surface_area,rotatable_bond_count,hydrogen_bond_acceptors_lipinski,hydrogen_bond_donors_lipinski,lipinski_rule_of_five_violations,qed_drug_likeliness,np_classifier_superclass,parent_family,pains_alert,DsbA_affinity,Irp3_affinity,row_idx,UMAP1,UMAP2,consensus_score,heavy_atom_count,DsbA_LE,Irp3_LE,consensus_LE
CNP0430959.1,CC1=C(CC[C@]2(C)[C@@H](C)CC[C@@H]3OC4(C)CCC32OC4(C)C)[C@]2(C)CCC(=O)C(C)(C)O[C@H]2CC1,486.74,7.33,44.76,3,4,0,1,0.39,Diterpenoids,Terpenoids,False,-6.917,-9.713,51331,-0.38691387,6.8848133,-8.315,35,0.19762857142857143,0.2775142857142857,0.23757142857142857
CNP0575497.0,CC(=O)NCCSC1=C2C=C(C(N)=O)NC3=C2C(=[N+]1C)C(=N)C(Cl)=C3N,393.88,0.63,141.73,5,5,5,0,0.19,Tryptophan alkaloids,Alkaloids,False,-6.361,-8.448,185757,3.807758,4.636288,-7.4045000000000005,26,0.24465384615384614,0.3249230769230769,0.28478846153846155
CNP0412296.0,CC(=O)N1CC2=C(C1=O)C(C1=CC=CC(OC3=NC=CC=N3)=C1)C1=CNC3=C1C(=CC=C3)N2,437.46,3.95,100.21,3,6,2,0,0.5,Tryptophan alkaloids,Alkaloids,False,-7.533,-11.15,250369,3.228511,7.1941123,-9.3415,33,0.2282727272727273,0.3378787878787879,0.2830757575757576
CNP0252331.3,C[C@H](C(=O)CCCC[C@H](O)[C@H](C)O)C(=O)N1C=CCC1,283.37,1.24,77.84,8,4,2,0,0.52,Proline alkaloids,Alkaloids,False,-5.176,-6.325,37851,2.6838431,4.3108487,-5.750500000000001,20,0.25880000000000003,0.31625000000000003,0.28752500000000003
CNP0537591.1,C=C(C)[C@@]12C[C@H](C)[C@]34O[C@]5(/C=C\C=C/C=C\CCCCCCCC[C@@H](C)C6[C@@H](C)C(=O)[C@](O)([C@@H](O)[C@]7(CO)O[C@@H]7[C@@H]3[C@@H]1O5)[C@H]64)O2,624.82,4.92,117.98,2,8,3,1,0.29,Diterpenoids,Terpenoids,False,-6.732,-6.53,89071,0.21706077,6.6272755,-6.631,45,0.1496,0.1451111111111111,0.14735555555555557
CNP0378324.1,C/C=C1\CO[C@@H]2CCN3CC=C(COC[C@@H](C)[C@H](C)C1)[C@H]23,291.44,3.02,21.7,0,3,0,0,0.64,Lysine alkaloids,Alkaloids,False,-5.832,-7.787,28740,0.8707042,5.6314006,-6.8095,21,0.2777142857142857,0.3708095238095238,0.32426190476190475
CNP0502469.1,CC(C)C1=NN2C(=N1)N[C@H]1CCCC[C@H]1C21CCCCC1,288.44,4.05,42.74,1,4,1,0,0.85,Lysine alkaloids,Alkaloids,False,-6.229,-8.842,122622,0.90553737,5.2740784,-7.535500000000001,21,0.2966190476190476,0.42104761904761906,0.35883333333333334
CNP0060412.2,CCO[P@@]1(=O)CCC[C@@H](C)C1,176.2,2.73,26.3,2,2,0,0,0.6,Monoterpenoids,Terpenoids,False,-4.49,-4.872,44249,1.1490846,4.5309334,-4.681,11,0.4081818181818182,0.4429090909090909,0.42554545454545456
CNP0206759.1,CSC1=NC(/C=C2/N=C(N)N(C)C2=O)=CN1C,251.31,0.27,76.51,2,6,1,0,0.6,Histidine alkaloids,Alkaloids,False,-5.249,-6.192,100892,4.3936434,4.557484,-5.7204999999999995,17,0.30876470588235294,0.36423529411764705,0.3365
CNP0287138.1,C=C1[C@H]2C[C@H]2[C@]2(C)[C@@H]3C[C@@]4(O)C5=C(C6=C(C)C(=O)O[C@]6(OC)[C@H](O)[C@@]5(C)[C@@H]5C[C@@H]54)[C@@]34OC(=O)C(C)=C4C[C@@H]12,518.61,3.12,102.29,1,7,2,1,0.41,Sesquiterpenoids,Terpenoids,False,-6.975,-7.699,127904,0.47275707,7.071056,-7.337,38,0.18355263157894736,0.20260526315789473,0.19307894736842104
CNP0286937.1,OCC(CO)(CO)CO[C@@H]1OCOCC1(CO)CO,282.29,-2.73,128.84,8,8,5,0,0.32,Monoterpenoids,Terpenoids,False,-4.937,-5.202,130740,0.20446464,5.05888,-5.0695,19,0.25984210526315793,0.2737894736842105,0.26681578947368423
CNP0494468.0,CCCNC(=S)NN,133.22,-0.27,50.08,2,2,3,0,0.28,Ornithine alkaloids,Alkaloids,False,-3.659,-4.27,152286,2.5894775,3.4702415,-3.9644999999999997,8,0.457375,0.53375,0.49556249999999996
