identifier,best_affinity_kcal_mol,runtime_seconds
CNP0528286.0,-6.402,16.6
CNP0528647.1,-7.049,41.2
CNP0528981.1,-7.494,124.2
CNP0529226.0,-4.289,5.6
CNP0530048.0,-8.913,91.7
CNP0530580.1,-7.432,185.3
CNP0531833.0,-6.383,55.1
CNP0531900.0,-10.12,33.2
CNP0531965.1,-8.859,35.4
CNP0532021.1,-8.55,16.8
CNP0532176.0,-7.581,113.0
CNP0532182.1,-8.022,92.3
CNP0533313.0,-4.671,10.8
CNP0534663.0,-5.876,6.3
CNP0535460.1,-8.959,32.6
CNP0536076.1,-8.5,14.4
CNP0536557.1,-8.486,32.8
CNP0537224.1,-9.155,86.1
CNP0537591.1,-6.53,99.2
CNP0538327.0,-9.674,167.5
CNP0538532.0,-5.542,9.2
CNP0538535.0,-7.754,12.7
CNP0539396.1,-9.088,27.2
CNP0539879.1,-9.095,43.0
CNP0540149.1,-7.306,55.4
CNP0540370.1,-7.627,10.1
CNP0540432.1,-8.141,35.1
CNP0540443.0,-6.35,11.6
CNP0540499.0,-8.104,20.4
CNP0540798.0,-7.567,30.8
CNP0541308.0,-8.16,44.2
CNP0541829.0,-5.338,13.4
CNP0542242.0,-5.286,6.8
CNP0542401.0,-7.949,88.5
CNP0545853.1,-8.771,60.1
CNP0546206.1,-8.101,12.6
CNP0546261.0,-5.855,15.6
CNP0546316.0,-4.836,7.9
CNP0546580.1,-5.941,10.0
CNP0546613.1,-7.486,19.3
CNP0546856.1,-6.649,42.1
CNP0546987.1,-6.196,35.7
CNP0547341.0,-6.602,13.3
CNP0548922.0,-8.755,33.4
CNP0549496.1,-10.31,82.3
CNP0550183.0,-9.0,15.5
CNP0550309.0,-7.948,22.2
CNP0550710.0,-6.239,6.1
CNP0551523.1,-8.131,148.5
CNP0552047.1,-4.551,10.6
CNP0552964.1,-5.785,10.7
CNP0553116.1,-8.244,56.8
CNP0553236.0,-6.335,21.3
CNP0554873.1,-6.494,50.7
CNP0554973.0,-4.488,5.8
CNP0555999.1,-6.709,27.0
CNP0556035.1,-8.512,171.4
CNP0556220.1,-9.349,81.9
CNP0556235.0,-7.592,40.8
CNP0556728.0,-7.658,92.6
CNP0556781.0,-8.132,26.2
CNP0557472.3,-10.19,49.3
CNP0558437.1,-9.218,36.4
CNP0558567.0,-12.0,17.9
CNP0558808.3,-8.178,69.7
CNP0559444.1,-6.968,46.8
CNP0559900.1,-8.534,112.4
CNP0560480.0,-8.765,103.7
CNP0560965.1,-5.743,7.5
CNP0562598.1,-10.52,261.2
CNP0563398.0,-7.746,20.2
CNP0563483.0,-6.316,18.0
CNP0563770.0,-6.735,10.8
CNP0564201.0,-5.818,140.3
CNP0564339.0,-6.693,9.0
CNP0566318.1,-7.005,24.4
CNP0567230.1,-7.284,55.4
CNP0568897.1,-6.602,28.1
CNP0568961.0,-6.917,20.6
CNP0569236.1,-7.763,21.9
CNP0569319.0,-7.572,118.9
CNP0569397.0,-10.36,70.8
CNP0569949.1,-10.67,55.6
CNP0571460.1,-7.478,76.9
CNP0572135.1,-4.816,6.7
CNP0572203.0,-5.991,28.9
CNP0572274.0,-9.31,96.5
CNP0572521.1,-5.679,30.7
CNP0572548.1,-8.884,36.4
CNP0573009.0,-6.299,45.1
CNP0573118.2,-8.027,58.3
CNP0573506.1,-8.075,34.2
CNP0573565.0,-8.22,126.1
CNP0573577.2,-7.69,91.6
CNP0573812.1,-8.735,93.2
CNP0573813.1,-9.012,80.0
CNP0574040.0,-7.28,75.5
CNP0574256.1,-9.494,12.1
CNP0574426.1,-7.572,22.5
CNP0575497.0,-8.448,56.9
CNP0576049.1,-7.139,23.2
CNP0576892.0,-5.36,26.8
CNP0577071.1,-8.283,70.6
CNP0577775.1,-7.256,40.3
CNP0577945.0,-9.74,56.1
CNP0578490.0,-3.127,3.8
CNP0578737.1,-7.192,167.6
CNP0579544.1,-7.075,15.5
CNP0580055.0,-8.29,79.5
CNP0581091.0,-7.681,15.8
CNP0581238.0,-6.976,10.9
CNP0581302.0,-7.856,48.1
CNP0581313.0,-7.494,16.6
CNP0581752.1,-9.056,54.3
CNP0582409.2,-9.7,133.0
CNP0583037.0,-9.808,85.8
CNP0583988.1,-7.406,35.3
CNP0584496.1,-9.056,166.1
CNP0584884.0,-7.145,108.2
CNP0585327.0,-8.371,39.1
CNP0585697.0,-8.148,29.4
CNP0586031.1,-8.585,55.8
CNP0586643.1,-7.53,37.8
CNP0587729.0,-9.419,26.2
CNP0587841.1,-5.621,58.6
CNP0587944.1,-6.516,155.7
CNP0588422.1,-9.221,22.7
CNP0588890.1,-6.776,103.3
CNP0589762.1,-9.373,22.9
CNP0590612.1,-7.892,25.5
CNP0591158.0,-10.71,22.3
CNP0591347.0,-6.491,14.9
CNP0591419.1,-8.981,40.4
CNP0591628.1,-7.247,47.5
CNP0593115.1,-7.37,95.3
CNP0593555.0,-6.546,28.5
CNP0593712.0,-4.87,12.6
CNP0594516.1,-9.98,32.6
CNP0598020.1,-5.301,11.6
CNP0598126.1,-9.796,95.4
CNP0598571.2,-7.207,10.7
CNP0598625.1,-7.586,11.0
CNP0598841.1,-7.664,77.5
CNP0598889.1,-4.09,12.3
CNP0599148.1,-8.579,149.4
CNP0599466.2,-8.292,36.2
CNP0600818.1,-6.993,74.1
CNP0601614.1,-7.966,94.7
CNP0601698.1,-7.243,62.3
CNP0602284.1,-8.624,161.4
CNP0602403.0,-8.03,33.3
CNP0602508.0,-5.661,10.5
CNP0602697.1,-4.836,13.5
CNP0602988.1,-9.038,70.9
CNP0603459.1,-8.512,30.9
CNP0604221.0,-9.292,24.4
CNP0604899.0,-4.15,10.8
CNP0605197.1,-9.913,94.9
CNP0605261.1,-9.008,54.5
CNP0605523.2,-5.345,20.8
CNP0605545.0,-7.151,29.4
CNP0606030.0,-6.534,40.3
CNP0608451.1,-5.122,21.0
CNP0608667.0,-10.56,103.7
CNP0608741.0,-7.441,23.0
